Calibration values (ps) from cell 0 to 1024 :

00132.649	00132.850	00133.052	00133.253	00133.454	00133.655	00133.856	00134.057	cell = 664 to 671
00134.257	00134.458	00134.659	00134.860	00135.061	00135.262	00135.462	00135.663	cell = 672 to 679
00135.863	00136.064	00136.264	00136.464	00136.664	00136.864	00137.064	00137.265	cell = 680 to 687
00137.465	00137.665	00137.865	00138.065	00138.264	00138.464	00138.663	00138.863	cell = 688 to 695
00139.062	00139.262	00139.461	00139.661	00139.860	00140.060	00140.259	00140.459	cell = 696 to 703
00140.659	00140.859	00141.060	00141.260	00141.461	00141.661	00141.862	00142.062	cell = 704 to 711
00142.263	00142.464	00142.664	00142.865	00143.065	00143.266	00143.467	00143.668	cell = 712 to 719
00143.869	00144.070	00144.271	00144.472	00144.673	00144.873	00145.074	00145.275	cell = 720 to 727
00145.476	00145.677	00145.878	00146.079	00146.280	00146.481	00146.682	00146.883	cell = 728 to 735
00147.084	00147.285	00147.486	00147.687	00147.888	00148.089	00148.290	00148.492	cell = 736 to 743
00148.693	00148.895	00149.096	00149.297	00149.498	00149.700	00149.901	00150.102	cell = 744 to 751
00150.302	00150.503	00150.704	00150.904	00151.105	00151.306	00151.506	00151.707	cell = 752 to 759
00151.907	00152.107	00152.307	00152.507	00152.707	00152.906	00153.106	00153.306	cell = 760 to 767
00153.505	00153.705	00153.904	00154.104	00154.303	00154.503	00154.702	00154.901	cell = 768 to 775
00155.101	00155.300	00155.500	00155.699	00155.899	00156.098	00156.297	00156.497	cell = 776 to 783
00156.696	00156.896	00157.095	00157.295	00157.494	00157.693	00157.892	00158.091	cell = 784 to 791
00158.291	00158.490	00158.689	00158.888	00159.087	00159.286	00159.485	00159.684	cell = 792 to 799
00159.883	00160.082	00160.281	00160.481	00160.680	00160.879	00161.078	00161.277	cell = 800 to 807
00161.476	00161.675	00161.874	00162.074	00162.273	00162.473	00162.672	00162.872	cell = 808 to 815
00163.072	00163.272	00163.472	00163.672	00163.872	00164.071	00164.271	00164.471	cell = 816 to 823
00164.671	00164.872	00165.072	00165.273	00165.474	00165.674	00165.875	00166.076	cell = 824 to 831
00166.277	00166.477	00166.678	00166.879	00167.080	00167.282	00167.483	00167.684	cell = 832 to 839
00167.885	00168.086	00168.287	00168.488	00168.689	00168.890	00169.091	00169.292	cell = 840 to 847
00169.493	00169.694	00169.895	00170.096	00170.297	00170.498	00170.699	00170.900	cell = 848 to 855
00171.101	00171.302	00171.503	00171.704	00171.905	00172.106	00172.307	00172.509	cell = 856 to 863
00172.710	00172.911	00173.113	00173.314	00173.515	00173.716	00173.918	00174.119	cell = 864 to 871
00174.320	00174.522	00174.723	00174.924	00175.126	00175.327	00175.528	00175.730	cell = 872 to 879
00175.931	00176.133	00176.334	00176.535	00176.736	00176.937	00177.138	00177.339	cell = 880 to 887
00177.540	00177.742	00177.943	00178.144	00178.345	00178.547	00178.748	00178.950	cell = 888 to 895
